DATA,PROX_UTEIS,MES,DIA_SEMANA,PD_1360,PD_46851,PD_58191,PD_38718,PD_46846,PD_16731,PD_26529,PD_21653,PD_1359,PD_53172,PD_45276,PD_10183,PD_26175,PD_23776,PD_50589,PD_29585,PD_12318,PD_55618,PD_26603,PD_54032,PD_21638,PD_46844,PD_11895,PD_50595,PD_3518,PD_10086,PD_35859,PD_50588,PD_47445,PD_43001,PD_30283,PD_28360,PD_57537,PD_21417,PD_47891,PD_50590,PD_1354,PD_14149,PD_21568,PD_16763,PD_30702,PD_14144,PD_50587,PD_44681,PD_30816,PD_52170,PD_22683,PD_39668,PD_30802,PD_13969,PD_18691,PD_55451,PD_30817,PD_49141,PD_12388,PD_1357,PD_3604,PD_30282,PD_21500,PD_17422,PD_16728,PD_38717,PD_29666,PD_60656,PD_2757,PD_44682,PD_44684,PD_39667,PD_1356,PD_39665,PD_50360,PD_49140,PD_57117,PD_11587,PD_14138,PD_30818,PD_22886,PD_46310,PD_47711,PD_46212,PD_51233,PD_49142,PD_14137,PD_17421,PD_28530,PD_11013,PD_53189,PD_11275,PD_21486,PD_11782,PD_3602,PD_14136,PD_52099,PD_44683,PD_58152,PD_21586,PD_7017,PD_3603,PD_29563,PD_14148,PD_39666,PD_46299,PD_52154,PD_31799,PD_31800,PD_50219,PD_39351,PD_39663,PD_39664,PD_35273,PD_53484,PD_51113,PD_17426,PD_26890,PD_22133,PD_17891,PD_50357,PD_17424,PD_58168,PD_52185,PD_17420,PD_28509,PD_50220,PD_52183,PD_43170,PD_46298,PD_28531,PD_30870,PD_7548,PD_22684,PD_21466,PD_29561,PD_41942,PD_21467,PD_14147,PD_17417,PD_7546,PD_56196,PD_17892,PD_17893,PD_41108,PD_48916,PD_43145,PD_1377,PD_17895,PD_41944,PD_1350,PD_35276,PD_36033,PD_52169,PD_21603,PD_50671,PD_22137,PD_22682,PD_21604,PD_43144,PD_34735,PD_15054,PD_35272,PD_49533,PD_52186,PD_18865,PD_43169,PD_30803,PD_10002,PD_21656,PD_50361,PD_22104,PD_53973,PD_50757,PD_3457,PD_7016,PD_49218,PD_8904,PD_50901,PD_21588,PD_16730,PD_53034,PD_7549,PD_34358,PD_39414,PD_9426,PD_55043,PD_3793,PD_18449,PD_19836,PD_21196,PD_21587,PD_20105,PD_21468,PD_17890,PD_47058,PD_17418,PD_17888,PD_28110,PD_18503,PD_21602,PD_17894,PD_53869,PD_50359,PD_21197,PD_46297,PD_22136,PD_35275,PD_37926,PD_50356,PD_17416,PD_43143,PD_11385,PD_27406,PD_17415,PD_17423,PD_17414,PD_3605,PD_18856,PD_29705,PD_17254,PD_10009,PD_10001,PD_11348,PD_10010,PD_3607,PD_3606,PD_2639,PD_10008,PD_6791,PD_2896,PD_2897,PD_2564,PD_8554,PD_41107,PD_17411,PD_17412,PD_51306,PD_17889,PD_17410,PD_34734,PD_11252,PD_35274,PD_17413,NOVAS_ATIVACOES_CLIENTES,FUNCIONARIOS_DIAS,NOVOS_CLIENTES,NUM_VENDEDOR
2013-01-01,23,1,2,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,396,0.0,0,0.0,90,0.0,1455.0,0.0,0,45,0,0,64,0,0,0.0,0.0,0,0,0,60,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,520.0,0.0,0,0,0,4000,0.0,0,0.0,0.0,0,0,375.0,0.0,180,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,372,540.0,0,0,1600,0.0,0,100.0,336.0,0,0,0,0.0,990,0,0,3600.0,516,516,0.0,372,0.0,40.0,0,0,108,708.0,0.0,0,0.0,20.0,120.0,0.0,0.0,0,0,0.0,3420,0,5660.0,820.0,4300.0,0.0,0,0,0,0.0,0,1752.0,0,0.0,0.0,0,0,3160,0,0,0.0,0,0,0,0,0,5220.0,0,0.0,0,0.0,2175.0,0,0.0,0,980.0,0,3480.0,0,3140.0,2532,0,0.0,1908,0.0,0,10460,2496,0,0,2726,0.0,4720.0,0,0,0,0,0,0,0.0,16720.0,0.0,6480.0,0.0,5604,0,8180.0,18180,0,9468.0,0,0.0,988.56,0,0,125420.0,100036,129336,7025.0,0,0.0,80980.0,42360.0,0,13164,43180.0,0,0,0,12260.0,16,2.0,0,132
2013-01-02,22,1,3,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,60,0,4340,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,1350.0,0.0,0,75,0,0,48,0,0,0.0,0.0,0,0,0,80,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,3600.0,0.0,0,0,0,3180,0.0,0,0.0,0.0,0,0,450.0,0.0,180,1700,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,312,2080.0,0,0,320,0.0,0,160.0,434.0,0,0,0,0.0,2940,0,0,4480.0,612,492,0.0,600,0.0,3920.0,0,0,432,348.0,0.0,0,0.0,0.0,240.0,0.0,0.0,0,0,0.0,6080,0,1480.0,740.0,6840.0,0.0,0,0,0,0.0,0,588.0,0,0.0,0.0,0,0,4020,0,0,0.0,80,0,0,0,0,5420.0,0,0.0,0,0.0,2415.0,0,0.0,0,1560.0,4521,2660.0,52000,2260.0,3288,0,500.0,1836,0.0,30950,14600,4464,0,0,6004,0.0,1800.0,0,0,0,0,0,0,0.0,25400.0,0.0,12580.0,0.0,5292,0,10800.0,10310,2860,15750.0,29100,36373.23,27631.86,39025,32710,96860.0,113563,67849,36797.0,0,0.0,68340.0,46240.0,0,4392,52860.0,0,0,0,10580.0,1,23.0,0,131
2013-01-03,21,1,4,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,560,264,0.0,0,0.0,30,0.0,2730.0,0.0,0,180,0,0,528,0,0,0.0,0.0,0,0,0,80,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,1552.0,0.0,0,0,0,140,0.0,0,0.0,0.0,0,400,285.0,0.0,480,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,978,3660.0,972,0,1160,0.0,0,360.0,854.0,0,0,0,0.0,1950,0,0,3760.0,96,1620,0.0,708,0.0,120.0,0,0,252,1284.0,0.0,0,0.0,0.0,660.0,0.0,0.0,0,0,0.0,8060,0,520.0,1900.0,8160.0,0.0,0,2036,0,0.0,0,1164.0,0,0.0,60.0,0,0,9000,0,0,0.0,440,0,0,0,0,10520.0,0,0.0,0,0.0,2850.0,0,0.0,0,1580.0,38628,5020.0,0,6300.0,6348,0,780.0,8076,0.0,29390,26040,5772,0,0,43008,0.0,7240.0,0,0,0,0,0,0,0.0,16220.0,0.0,19120.0,7727.98,10476,51000,3600.0,0,3110,30006.0,16702,17572.77,27353.96,0,20194,196780.0,120653,88554,26888.0,0,0.0,109240.0,56920.0,0,10524,65020.0,0,0,0,22240.0,44,34.0,0,130
2013-01-04,21,1,5,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,398.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,440,240,0.0,0,0.0,15,0.0,1680.0,0.0,0,45,0,0,1376,0,0,0.0,0.0,0,3939,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,720.0,0.0,0,0,1580,2440,0.0,0,0.0,0.0,0,4000,165.0,0.0,120,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,570,740.0,420,0,1040,0.0,0,180.0,504.0,0,0,0,0.0,920,0,0,4500.0,852,672,0.0,624,0.0,0.0,0,0,288,828.0,0.0,0,0.0,0.0,360.0,0.0,0.0,0,0,0.0,7040,0,0.0,380.0,6040.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,5300,0,0,0.0,600,0,0,0,0,4300.0,0,0.0,0,0.0,1815.0,0,0.0,0,5040.0,5029,5040.0,1160,2460.0,4932,0,620.0,4500,0.0,14490,13840,3384,0,0,14423,0.0,5440.0,0,0,0,0,0,31650,0.0,58720.0,0.0,12180.0,0.0,4380,0,9120.0,17570,0,18162.0,32930,22711.29,26566.13,0,21430,202060.0,109601,47047,80282.0,0,0.0,90820.0,38320.0,0,7404,64260.0,0,72000,0,18000.0,37,40.0,0,130
2013-01-05,22,1,6,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,200,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,20,0.0,0,0.0,182.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,10140,0,0,0.0,2600,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,13779,0.0,0,0.0,0,0,140.0,12,0.0,15210,0,0,0,0,7303,0.0,160.0,0,0,0,15000,0,0,0.0,8040.0,0.0,0.0,0.0,0,0,0.0,10520,0,54.0,9170,9737.25,23929.71,0,16820,0.0,98604,164479,0.0,0,0.0,26000.0,0.0,0,12,420.0,0,0,0,0.0,22,40.0,0,130
2013-01-06,23,1,7,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,600,0.0,0,0.0,0,0.0,1665.0,0.0,0,120,0,0,0,0,0,0.0,0.0,0,0,0,220,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,672.0,0.0,0,0,0,1340,0.0,0,0.0,0.0,0,80,135.0,0.0,384,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,456,580.0,1416,0,40,0.0,0,620.0,364.0,0,0,0,0.0,1200,0,0,2920.0,972,1104,0.0,216,0.0,0.0,0,0,816,1848.0,0.0,0,0.0,40.0,660.0,0.0,0.0,0,0,0.0,7120,0,0.0,860.0,6960.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,3840,0,0,0.0,0,0,0,0,0,3660.0,0,0.0,0,0.0,2175.0,0,0.0,0,6600.0,0,5600.0,0,4480.0,3516,0,0.0,3324,0.0,0,23100,2520,0,0,1527,0.0,4980.0,0,0,0,7000,0,0,0.0,21500.0,0.0,8160.0,0.0,8124,0,17780.0,93900,0,21744.0,0,0.0,5798.46,0,0,128960.0,0,0,95532.0,0,0.0,121140.0,46260.0,0,4500,52720.0,0,0,0,14820.0,31,40.0,0,130
2013-01-07,23,1,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,4290,4420,420,60,0.0,0,0.0,900,0.0,1740.0,0.0,0,0,0,0,1200,0,0,0.0,0.0,0,0,0,120,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,1152.0,0.0,0,0,0,2080,0.0,0,0.0,0.0,0,9300,195.0,0.0,348,1680,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,528,1800.0,996,0,1000,0.0,0,20.0,574.0,0,0,0,0.0,1950,0,0,3120.0,936,852,0.0,624,0.0,0.0,0,0,984,672.0,0.0,0,0.0,0.0,816.0,0.0,0.0,0,0,0.0,4860,0,0.0,780.0,5180.0,0.0,0,0,0,0.0,0,384.0,0,0.0,0.0,0,0,6240,0,0,0.0,400,0,0,0,0,2140.0,0,0.0,0,0.0,2025.0,0,0.0,0,2760.0,8040,3580.0,0,2820.0,3264,0,1060.0,2712,0.0,14950,11020,3324,0,0,7821,0.0,8840.0,0,0,0,4340,0,11360,0.0,15660.0,80.0,12180.0,0.0,3240,76008,13180.0,0,3020,18036.0,24320,29594.07,28074.52,58040,13710,105340.0,72579,95296,35548.0,0,0.0,85020.0,44820.0,0,12216,45661.0,0,0,0,12040.0,27,41.0,0,130
2013-01-08,23,1,2,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,220,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,532.0,0,0.0,0,0,0.0,0.0,0,0,820,276,0.0,0,0.0,195,0.0,2325.0,0.0,0,435,0,0,0,0,0,0.0,0.0,108,0,0,40,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,3420.0,0,2312.0,0.0,0,0,0,4060,0.0,0,0.0,0.0,0,4240,1815.0,0.0,504,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,906,2320.0,408,0,3980,0.0,0,660.0,1218.0,0,0,0,0.0,1900,0,0,4140.0,684,1320,0.0,48,0.0,0.0,0,0,228,1464.0,0.0,0,0.0,0.0,504.0,0.0,0.0,0,0,0.0,7780,0,0.0,1340.0,8740.0,0.0,0,6624,0,0.0,0,2220.0,0,0.0,230.0,0,0,8740,0,0,0.0,0,0,0,0,0,8420.0,0,0.0,0,0.0,2400.0,0,0.0,26000,7340.0,6146,4380.0,1120,5600.0,5196,0,760.0,2340,0.0,29970,28160,6144,0,0,6437,0.0,8640.0,0,0,0,2380,0,0,0.0,82440.0,60.0,11120.0,12294.48,5376,103512,9080.0,17870,500,25272.0,16358,25399.22,22146.03,36392,21640,164520.0,88737,111021,46945.0,0,0.0,107880.0,52700.0,0,7152,69640.0,0,0,0,20780.0,4,55.0,0,130
2013-01-09,22,1,3,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,220,1128,0.0,0,0.0,0,0.0,900.0,0.0,0,45,0,0,0,0,0,0.0,0.0,0,2970,0,100,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,17,0,0.0,0,0,0,0.0,0.0,0,1032.0,0.0,0,0,4780,600,0.0,0,0.0,0.0,0,440,120.0,0.0,384,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,462,1540.0,288,0,220,0.0,0,120.0,770.0,0,0,0,0.0,2880,0,0,3580.0,1248,1140,0.0,504,0.0,0.0,0,0,816,924.0,0.0,0,0.0,0.0,492.0,0.0,0.0,0,0,0.0,5600,0,0.0,840.0,6600.0,0.0,0,2351,0,0.0,0,108.0,0,0.0,0.0,0,0,5740,0,0,0.0,1040,0,77985,0,0,2080.0,0,0.0,0,0.0,2580.0,0,0.0,0,2180.0,3954,3200.0,0,2440.0,6228,0,460.0,5076,0.0,30440,14400,9300,0,0,4508,0.0,1480.0,0,0,0,1060,0,27040,0.0,24540.0,0.0,7440.0,7247.46,4584,25992,11560.0,15620,500,16272.0,29950,17970.27,18755.95,19453,23600,120660.0,94469,112130,61998.0,0,0.0,77220.0,25100.0,0,6108,38800.0,0,0,0,14700.0,0,61.0,0,130
2013-01-10,21,1,4,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,220,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,1380,0,0.0,0,0.0,0,0.0,2265.0,0.0,0,105,0,0,0,0,0,0.0,0.0,0,0,0,180,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,17,0,0.0,0,0,0,0.0,0.0,0,1464.0,0.0,0,0,0,1960,0.0,0,0.0,0.0,0,0,240.0,0.0,336,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1056,2240.0,0,0,420,0.0,0,80.0,868.0,0,0,0,0.0,3040,0,0,2020.0,240,1944,0.0,552,0.0,0.0,0,0,288,1476.0,0.0,0,0.0,0.0,528.0,0.0,0.0,0,0,0.0,3540,0,0.0,1400.0,7960.0,0.0,0,1672,0,0.0,0,2592.0,0,0.0,0.0,0,0,6700,0,0,0.0,440,0,0,0,0,13360.0,0,0.0,0,0.0,3000.0,0,0.0,0,0.0,6524,3900.0,0,4480.0,2148,0,360.0,5940,0.0,29790,16600,1500,0,0,9774,0.0,1020.0,0,0,0,1080,0,0,0.0,40180.0,0.0,13500.0,3191.56,6684,0,26720.0,18060,236052,22482.0,16610,19596.61,14978.22,18280,24790,191280.0,137886,59802,32111.0,0,0.0,116200.0,48220.0,0,6900,63020.0,0,0,0,18720.0,27,70.0,0,130
